author,tweets
Elon Musk,@ResethO Seriously 🤦‍♂️
Elon Musk,"RT @Starlink: Starlink eliminates dead zones, keeping you connected on the road 🛰️🚚"
Elon Musk,@ResethO 😑
Elon Musk,"RT @CommunityNotes: Introducing AI Note Writer API 🤖 AI helping humans. Humans still in charge.

Starting today, the world can create AI No…"
Elon Musk,RT @TheRabbitHole84: “History shows that the government will spend whatever the tax system will yield plus as much more as it can get away…
Elon Musk,@SenRandPaul @VP Bravo
Elon Musk,"RT @SenRandPaul: Throughout the Vote-a-rama, I was working all night to stop Congress from adding to our debt.

I met with @VP and I reiter…"
Elon Musk,"RT @SawyerMerritt: It's officially Q3, which means Tesla is supposed to open the first next-gen V4 Supercharger cabinets this quarter, capa…"
Elon Musk,@chiproytx @freedomcaucus 🎯
Elon Musk,@ns123abc I believe in hiring super smart junior engineers
Elon Musk,@ShawnRyan762 Yup
Elon Musk,"RT @Kalshi: BREAKING: Odds of Elon Musk creating a new political party in 2025 surge to 41% 

The spike comes after Elon proposed forming t…"
Elon Musk,@SafeGtrade1 Very
Elon Musk,@The_Facts_Dude 💯
Elon Musk,@BasedBeffJezos 💯
Elon Musk,"Removal of funding for enforcement of federal contempt of court orders is the actual crux of this spending bill.

This is nominally aimed at removal of illegal immigrants, but obviously also enables many other abuses of power by the President.

Should this be allowed?"
Elon Musk,@JessePeltan Yes
Elon Musk,Physics sees through all lies perfectly
Elon Musk,@merricklackner @spacesudoer Bannon is going back to prison. This time for a long time.
Elon Musk,"RT @DimaZeniuk: People are talking about that Bill right now, but I know there's something more beautiful: https://t.co/yFigQQW8g8"
Elon Musk,"RT @curious_founder: Another big statement against the Senate bill. 

The trade union representing 860,000 electrical workers says the bill…"
Elon Musk,"@cb_doge So tempting to escalate this. So, so tempting. But I will refrain for now."
Elon Musk,@DavidSHolz @xenocosmography And how are we supposed to reach Mars if America goes de facto bankrupt?
Elon Musk,"@DavidSHolz @xenocosmography #2 is destroyed by this insane spending bill. 

What good is Doge saving $160B when this bill increases the debt ceiling by $5T? It makes mockery of the work."
Elon Musk,@JOBhakdi 😂
Elon Musk,RT @wavefnx: We need to infuse the timeline with more CAD propaganda https://t.co/nLx4AJCN0f
Elon Musk,"RT @MarioNawfal: 🚨 🇺🇸 MIND-BLOWING FEDERAL BUDGET BREAKDOWN: $6.16 TRILLION SPENDING VS $4.47 TRILLION REVENUE

The government's fiscal 202…"
Elon Musk,@creepydotorg Differences in mental acuity vastly exceed physical differences
Elon Musk,FYI  https://t.co/VuecMmyPpb
Elon Musk,RT @Grummz: PewDiePie joins the Stop Killing Games initiative. https://t.co/ZyKP6v07fz
Elon Musk,@deanna504 @JDVance Correct
Elon Musk,@RepThomasMassie You’re awesome
Elon Musk,"@JimSpradlin7 Valid point. Milei gave me the chainsaw backstage and I ran with it, but, in retrospect, it lacked empathy."
Elon Musk,"@JDVance Turning off the massive money magnet for illegals is important, but this bill fails to do that"
Elon Musk,"RT @MarioNawfal: THE $37 TRILLION TIME BOMB

Take a look at U.S. national debt from 1900 to 2020. Flat for nearly a century…then boom - exp…"
Elon Musk,💯 https://t.co/GR1Zz2O9hX
Elon Musk,@grok @stayawake90 @Jason2bartlett Terrible
Elon Musk,"RT @MarioNawfal: 🇺🇸 SEN. RAND PAUL: CONSERVATIVE? NOT WITH A $5T DEBT CEILING

""We have to judge the effects of the big, not-so-beautiful b…"
Elon Musk,🤔 https://t.co/8G00NsElYT
Elon Musk,@BasedBeffJezos Yup
Elon Musk,"RT @MarioNawfal: ELON NEVER WANTED AN EV MANDATE OR SUBSIDIES

Elon’s opposition to the ‘One Big Beautiful Bill’ has never been about its r…"
Elon Musk,RT @anammostarac: On the topic of subsidies: a large sum of public funds flows to already well established companies that aren't inventing…
Elon Musk,@MarioNawfal 🎯
Elon Musk,@TeslaHype Lead us not into temptation
Elon Musk,@ENERGY @SecretaryWright Everything else combined is like cave men throwing little sticks into the fire compared to the Sun
Elon Musk,😑 https://t.co/KupkVrA4WT
Elon Musk,Basic math https://t.co/9LA9JgfvIz
Elon Musk,"@MarioNawfal Then why is the debt ceiling being raised by $5 trillion? 

Sounds like it should be raised by zero."
Elon Musk,@tylerhnorris Well said
Elon Musk,"RT @Rothmus: Not now, kitten. https://t.co/IYlTPrsu1y"
Elon Musk,@MrPitbull07 Insane
Elon Musk,@spacesudoer 😔
Elon Musk,@growing_daniel 😂
Elon Musk,Me https://t.co/vMahHZ7rGd
Elon Musk,@SawyerMerritt Like horses
Elon Musk,@BryceMLipscomb 💯
Elon Musk,@Chesschick01 ❤️
Elon Musk,@OwenSparks_ Exactly
Elon Musk,@JessePeltan 😂💯
Elon Musk,"RT @Starlink: Starlink Mini is compact and connects to high-speed internet in minutes

Speeds up to 280+ Mbps"
Elon Musk,@spacesudoer 💯😂
Elon Musk,What’s the point of a debt ceiling if we keep raising it?
Elon Musk,All I’m asking is that we don’t bankrupt America 🤷‍♂️ https://t.co/lt22t3EBpp
Elon Musk,@unusual_whales I am literally saying CUT IT ALL. Now.
Elon Musk,@Linahuaa 🤔
Elon Musk,"Hitting the debt ceiling is the only thing that will actually force the government to cut waste and fraud. 

That’s why the debt ceiling legislation exists!"
Elon Musk,💯 https://t.co/ecFIYPCos3
Elon Musk,RT @LibertyCappy: I’m tired of having to remake this meme https://t.co/UUf1GAYpAL
Elon Musk,@grok @mloffre_ @EndWokeness Wow
Elon Musk,@TheCinesthetic Life of Brian and Tropic Thunder
Elon Musk,RT @MorganStanley: Morgan Stanley is pleased to announce the successful completion of a $5 billion financing of Secured Notes and Term Loan…
Elon Musk,@Scobleizer ❤️
Elon Musk,@ScottAdamsSays 🫡
